0,Ciriè
1,Pinerolo
2,San Mauro Torinese
3,Savigliano
4,Alessandria
5,Casale Monferrato
6,Tortona
7,Busto Arsizio
8,Gallarate
9,Varese
10,Como
11,Erba
12,Lomazzo
13,Bresso
14,Busto Garolfo
15,Cernusco sul Naviglio
16,Cormano
17,Novate Milanese
18,Paderno Dugnano
19,San Giuliano Milanese
20,Senago
21,Baranzate
22,Bergamo
23,Brescia
24,Chiari
25,Cremona
26,Suzzara
27,Lodi
28,Cesano Maderno
29,Lissone
30,Muggiò
31,Vimercate
32,Cavaion Veronese
33,Villafranca di Verona
34,Schio
35,Conegliano
36,Montebelluna
37,Vittorio Veneto
38,Portogruaro
39,San Donà di Piave
40,Rovigo
41,Sanremo
42,Savona
43,Chiavari
44,Fidenza
45,Carpi
46,Modena
47,Bologna
48,San Giovanni in Persiceto
49,Faenza
50,Cesena
51,Carrara
52,Livorno
53,Rosignano Marittimo
54,San Miniato
55,Grosseto
56,Foligno
57,Perugia
58,Spoleto
59,Orvieto
60,Ancona
61,Jesi
62,Osimo
63,Civitanova Marche
64,Ascoli Piceno
65,Viterbo
66,Guidonia Montecelio
67,Nettuno
68,Pomezia
69,Roma
70,Ardea
71,Cisterna di Latina
72,Minturno
73,Frosinone
74,Sulmona
75,Pescara
76,Campobasso
77,Aversa
78,Maddaloni
79,Mondragone
80,San Felice a Cancello
81,Afragola
82,Caivano
83,Casalnuovo di Napoli
84,Castellammare di Stabia
85,Portici
86,Nocera Superiore
87,Scafati
88,Cerignola
89,Foggia
90,Manfredonia
91,San Giovanni Rotondo
92,Acquaviva delle Fonti
93,Altamura
94,Bari
95,Corato
96,Gravina in Puglia
97,Molfetta
98,Brindisi
99,Andria
100,Barletta
101,Bisceglie
102,Potenza
103,Matera
104,Cosenza
105,Crotone
